"point_name","latitude","longitude","ID","layer","geometry"
"Aderet 31.67144877_34.9880248",31.671448770000005,34.9880248,1,896.17242431640625,"c(198933.651114763, 619907.255614744)"
"Aderet 31.67577723_34.98668826",31.675777229999998,34.98668826,2,886.7073974609375,"c(198807.864562588, 620387.459560483)"
"Aderet 31.67867469_34.98154177",31.678674690000005,34.98154177,3,625,"c(198320.501695304, 620709.723544739)"
"Aderet Kkl 2",31.67578059,34.98668299,4,886.7073974609375,"c(198807.365575013, 620387.833123972)"
"Aderet Kkl 3",31.67145208,34.98801954,5,896.17242431640625,"c(198933.153036681, 619907.623625752)"
"Amatzia 31.50751869_34.8949584",31.507518689999994,34.894958399999986,6,1837.45751953125,"c(190056.728817688, 601751.665147421)"
"Amatzia 31.50752022_34.89495214",31.50752022,34.89495214,7,1837.45751953125,"c(190056.134618353, 601751.836472724)"
"Amatzia 31.51244719_34.89349107",31.512447189999996,34.893491069999996,8,1748.03466796875,"c(189918.887354873, 602298.533390028)"
"Amatzia 31.51244878_34.8934848",31.51244878,34.8934848,9,1748.03466796875,"c(189918.292257998, 602298.711379101)"
"Amatzia 31.51439867_34.8982574",31.514398669999995,34.898257400000006,10,1255.4879150390625,"c(190372.25258665, 602513.640031433)"
"Amatzia 31.51440028_34.89825118",31.51440028,34.89825118,11,1255.4879150390625,"c(190371.662250306, 602513.820199025)"
"Bat Shlomo 32.58547442_35.01415585",32.585474419999976,35.01415584999999,12,1355.0830078125,"c(201590.633432088, 721259.571484527)"
"Bat Shlomo 32.58716874_35.01054242",32.587168739999996,35.01054241999999,13,1054.7510986328125,"c(201251.714027867, 721448.081894103)"
"Bat Shlomo Far 1",32.560577125,35.265311999999994,14,347.31109619140625,"c(225173.00443983, 718484.170208047)"
"Bat Shlomo Kkl 3",32.58718195,35.01053736,15,1054.7510986328125,"c(201251.241627513, 721449.547732394)"
"Bat Shlomo Kkl Plantings 1",32.59022231,35.01344791,16,901.73443603515625,"c(201525.110721424, 721786.225673163)"
"Eitanim 31.77492651_35.09886264",31.77492651,35.09886264,17,270.4163513183594,"c(209455.500441051, 631365.718487707)"
"Eitanim 31.77814645_35.10938566",31.77814645,35.10938566,18,840.01483154296875,"c(210452.599555843, 631721.840824588)"
"Eitanim Kkl 2",31.77909156,35.10359697,19,529.74053955078125,"c(209904.385139971, 631827.132126881)"
"Eitanim Kkl Plantings 1",31.778373150000004,35.10949488666667,20,820.06103515625,"c(210462.96755851, 631746.96927804)"
"Eitanim Kkl Plantings 2",31.77897172,35.10375065333334,21,534.43896484375,"c(209918.929765892, 631813.830267652)"
"Eitanim Kkl Plantings 3",31.774846255,35.099036819999995,22,270.4163513183594,"c(209471.9909318, 631356.803479124)"
"Eitanim Kkl Plantings 3a",31.781144,35.087605,23,456.2071838378906,"c(208389.866461766, 632056.230415837)"
"Elyakim 32.66370396_35.05617847",32.66370396000001,35.056178470000006,24,530.330078125,"c(205548.199265462, 729928.896540265)"
"Elyakim 32.663718_35.0561739",32.663718,35.0561739,25,530.330078125,"c(205547.772739731, 729930.454174775)"
"Elyakim 32.66705144_35.05568733",32.66705144000001,35.055687330000005,26,710.633544921875,"c(205502.646784185, 730300.196591879)"
"Elyakim 32.66706551_35.05568276",32.66706551,35.05568276,27,710.633544921875,"c(205502.220286499, 730301.757556256)"
"Elyakim 32.6672786_35.06301256",32.667278600000024,35.063012559999976,28,425,"c(206189.815512478, 730324.449656677)"
"Elyakim 32.66729268_35.06300807",32.66729268,35.06300807,29,450,"c(206189.396414042, 730326.011690318)"
"Eshtaol 31.79075347_35.01995897",31.79075347,35.01995897,30,955.2486572265625,"c(201984.362580855, 633130.643734731)"
"Eshtaol Kkl 3",31.78694021,35.02193935,31,827.64727783203125,"c(202171.21206355, 632707.495108369)"
"Eshtaol Kkl 4",31.78378561,35.02056481,32,625,"c(202040.434988747, 632357.917538831)"
"Eshtaol Kkl Plantings 3",31.78693565,35.02194425,33,827.64727783203125,"c(202171.675306008, 632706.988695739)"
"Eshtaol Kkl Plantings 4",31.783781080000004,35.02056972,34,625,"c(202040.899193442, 632357.414445549)"
"Givat Yeshaayahu Kkl Plantings 1",31.670439920000003,34.92066036,35,1221.9349365234375,"c(192545.183391224, 619810.028885588)"
"Givat Yeshaayahu Kkl Plantings 2",31.667744980000002,34.92544157999999,36,1035.0120849609375,"c(192997.828591273, 619510.036998322)"
"Givat Yeshaayahu Kkl Plantings 3",31.665402099999998,34.91739659,37,1785.007080078125,"c(192234.207041933, 619252.229647981)"
"Givat Yeshayahu 2",31.66540534,34.91739057,38,1785.007080078125,"c(192233.637071639, 619252.59040997)"
"Givat Yeshayahu 3",31.66774825,34.92543564,39,1035.0120849609375,"c(192997.266204288, 619510.401025401)"
"Kabri 33.02024909_35.15766172",33.02024907875,35.157661755,40,325,"c(215085.573404419, 769462.082017179)"
"Kabri 33.02026699_35.15765825",33.02026699,35.15765825,41,325,"c(215085.24680512, 769464.068631104)"
"Kabri 33.02051057_35.16410644",33.020510617777774,35.16410639111112,42,887.76409912109375,"c(215687.72625471, 769490.839008301)"
"Kabri 33.02052847_35.16410304",33.02052847,35.16410304,43,887.76409912109375,"c(215687.413910381, 769492.819050108)"
"Kabri 33.02076963_35.17121742",33.020769682857136,35.17121736,44,875,"c(216352.132546605, 769519.33867555)"
"Kabri 33.02175836_35.17061209",33.02175836,35.17061209,45,831.0384521484375,"c(216295.615939812, 769629.007109063)"
"Kerem Maharal 32.61227564_34.96368766",32.61227564,34.96368766,46,1117.195068359375,"c(196858.943491262, 724241.400409242)"
"Kerem Maharal 32.61601959_34.96652201",32.61601959,34.96652201,47,1044.0306396484375,"c(197125.908422583, 724656.003246812)"
"Kerem Maharal Kkl 3",32.61228912,34.96368208,48,1117.195068359375,"c(196858.423130222, 724242.896518344)"
"Kerem Maharal Kkl Plantings 1",32.63243029235294,34.97361129941175,49,807.77471923828125,"c(197795.24296213, 726474.475405466)"
"Kerem Maharal Kkl Plantings 2",32.6547989775,34.978033235,50,1026.21875,"c(198215.485360863, 728954.266483633)"
"Kerem Maharal Kkl Plantings 3",32.66114693,34.9686609,51,1050,"c(197337.765041374, 729660.168583475)"
"Manara 33.18276851_35.54829503",33.18276851,35.54829503,52,1178.1871337890625,"c(251524.607553665, 787538.425773915)"
"Manara Kkl 1",33.18278817,35.54829586,53,1178.1871337890625,"c(251524.677798363, 787540.606516033)"
"Manara Kkl 2",33.17320998,35.5510869,54,2263.017822265625,"c(251788.492805358, 786479.150011212)"
"Manara Kkl Plantings 2",33.17310262,35.55076869333333,55,2280.350830078125,"c(251758.852418266, 786467.144529975)"
"Manara Kkl Plantings 3",33.177721389999995,35.54866916,56,1722.098876953125,"c(251561.340283572, 786978.765298932)"
"Meron 32.99189342_35.45548018",32.99189342,35.45548018,57,548.2928466796875,"c(242919.177853534, 766344.295300074)"
"Meron Far 1",32.985778,35.455755,58,1051.487060546875,"c(242946.483376217, 765666.119624692)"
"Meron Far 2",32.983621,35.460433,59,1402.2303466796875,"c(243384.316634419, 765427.949421432)"
"Meron Kkl Plantings 1",32.9856076,35.45606362,60,1084.550537109375,"c(242975.375186282, 765647.290181329)"
"Meron Kkl Plantings 2",32.983513450000004,35.460574385,61,1397.54248046875,"c(243397.561203618, 765416.053642236)"
"Ofer 32.65474897_34.97793598",32.65474897,34.97793598,62,1012.4228515625,"c(198206.349371583, 728948.740105246)"
"Ofer 32.66116094_34.96865537",32.66116094,34.96865537,63,1050,"c(197337.249720642, 729661.723447087)"
"Ofer Kkl 3",32.66032073,34.97882237,64,1407.56884765625,"c(198290.820571748, 729566.471791524)"
"Ofer Kkl Plantings 1",32.61968215285714,34.97122850714286,65,575.543212890625,"c(197568.539009429, 725061.200540374)"
"Ofer Kkl Plantings 2",32.61601959,34.96652201,66,1044.0306396484375,"c(197125.908422583, 724656.003246812)"
"Ofer Kkl Plantings 3",32.628566070000005,34.96534540666667,67,1123.0538330078125,"c(197018.605242787, 726047.649538936)"
"Ramat Hashofet - Kkl Plantings 1",32.61716,35.110972,68,1044.629150390625,"c(210683.69575075, 724761.344815364)"
"Ramat Hashofet - Kkl Plantings 2",32.622465,35.112418,69,1453.4442138671875,"c(210819.920579516, 725349.546278725)"
"Ramat Hashofet 32.61710013_35.11234171",32.61710013,35.11234171,70,1162.1639404296875,"c(210812.245387246, 724754.593114449)"
"Ramat Hashofet 32.62225135_35.11265519",32.62225135,35.11265519,71,1472.4554443359375,"c(210842.160496496, 725325.833429743)"
"Ramat Hashofet 33.0939666_35.5664466",33.0939666,35.5664466,72,1028.6519775390625,"c(253251.477514479, 777695.188267522)"
"Ramat Hashofet 33.098205_35.564775",33.098205,35.564775,73,726.72210693359375,"c(253093.809376889, 778164.725269601)"
"Ramat Hashofet Kkl Plantings 4",32.60957685,35.11595598,74,1475.8472900390625,"c(211150.77203785, 723919.980832427)"
"Ramat Hashofet Kkl Plantings 4a",32.60910331,35.11070664,75,1004.0542602539063,"c(210658.002623026, 723867.88783415)"
"Ramot Naftali 33.09405282_35.56702946",33.09405282,35.56702946,76,1063.602294921875,"c(253305.857897185, 777704.938669865)"
"Ramot Naftali 33.09475371_35.56140929",33.09475371,35.56140929,77,559.0169677734375,"c(252780.917904311, 777780.87417943)"
"Ramot Naftali 33.09853595_35.56487564",33.09853595,35.56487564,78,750,"c(253103.07816288, 778201.462689567)"
"Ramot Naftali Kkl Plantings 1",33.09477838375,35.56137014624999,79,559.0169677734375,"c(252777.254328159, 777783.598272845)"
"Ramot Naftali Kkl Plantings 2",33.09403412,35.56702842,80,1063.602294921875,"c(253305.767974086, 777702.864347763)"
"Ramot Naftali Kkl Plantings 3",33.09845045714286,35.56477267428572,81,725.430908203125,"c(253093.498768793, 778191.947792454)"
"Zuriel - Kkl Plantings 3",33.014651,35.316273,82,600,"c(229905.760374544, 768845.808458434)"
"Zuriel 33.01091098_35.31488335",33.01091098,35.31488335,83,235.84951782226563,"c(229776.348623407, 768430.880119198)"
"Zuriel 33.01398017_35.31735242",33.01398017,35.31735242,84,530.330078125,"c(230006.700171002, 768771.517093498)"
"Zuriel Far 1",33.017089,35.310043,85,875,"c(229323.364006643, 769115.595709541)"
"Zuriel Kkl 2",33.01092878,35.31488161,86,235.84951782226563,"c(229776.183959169, 768432.854076623)"
"Zuriel Kkl 3",33.013998,35.31735071,87,530.330078125,"c(230006.538265487, 768773.49437833)"
"Zuriel Kkl Plantings 1",33.017017624999994,35.30981209,88,875,"c(229301.796543886, 769107.658131482)"
"Zuriel Kkl Plantings 1a",33.016872,35.307781,89,863.1337890625,"c(229112.034549865, 769091.3190323)"
"Zuriel Kkl Plantings 3",33.01389544666667,35.317430613333336,90,530.330078125,"c(230014.016629224, 768762.128605325)"
