"habitat","year","mean.predicted.abnd","mean.predicted.abnd.se"
"bedouin agriculture",2014,11.482973154731189,3.4007022051342837
"bedouin agriculture",2014.06,11.31455451579779,3.3275475118500952
"bedouin agriculture",2014.12,11.148606041825847,3.2563634994255746
"bedouin agriculture",2014.18,10.985091503363094,3.1871113159679783
"bedouin agriculture",2014.24,10.823975202329763,3.11975262725509
"bedouin agriculture",2014.3,10.665221964221377,3.054249595450354
"bedouin agriculture",2014.36,10.508797130431994,2.9905648582083866
"bedouin agriculture",2014.42,10.354666550686451,2.928661508230687
"bedouin agriculture",2014.48,10.202796575587076,2.868503073343143
"bedouin agriculture",2014.54,10.05315404926394,2.810053497164317
"bedouin agriculture",2014.6,9.905706302138686,2.7532771204456865
"bedouin agriculture",2014.66,9.760421143791076,2.698138663159628
"bedouin agriculture",2014.72,9.617266855933424,2.6446032074196895
"bedouin agriculture",2014.78,9.476212185482657,2.5926361813132446
"bedouin agriculture",2014.84,9.337226337739425,2.542203343734686
"bedouin agriculture",2014.9,9.20027896966401,2.4932707702992554
"bedouin agriculture",2014.96,9.065340183253975,2.4458048404217174
"bedouin agriculture",2015.02,8.93238051901381,2.3997722256357954
"bedouin agriculture",2015.08,8.801370949525467,2.3551398792326244
"bedouin agriculture",2015.14,8.67228287311018,2.311875027284349
"bedouin agriculture",2015.2,8.54508810758616,2.269945161117004
"bedouin agriculture",2015.26,8.419758884112996,2.2293180312835603
"bedouin agriculture",2015.32,8.2962678411312,2.189961643084463
"bedouin agriculture",2015.38,8.174588018387746,2.151844253665845
"bedouin agriculture",2015.44,8.05469285105202,2.11493437071803
"bedouin agriculture",2015.5,7.936556163913477,2.0792007527795118
"bedouin agriculture",2015.56,7.820152165668992,2.0446124111427184
"bedouin agriculture",2015.62,7.7054554432917035,2.0111386133381273
"bedouin agriculture",2015.68,7.5924409564824815,1.978748888160954
"bedouin agriculture",2015.74,7.4810840322048895,1.947413032189206
"bedouin agriculture",2015.8,7.371360359296082,1.9171011177241788
"bedouin agriculture",2015.86,7.263245983160947,1.88778350207377
"bedouin agriculture",2015.92,7.156717300541581,1.8594308380804032
"bedouin agriculture",2015.98,7.0517510543658934,1.832014085785272
"bedouin agriculture",2016.04,6.948324328667755,1.8055045251053008
"bedouin agriculture",2016.1,6.846414543585663,1.7798737693923259
"bedouin agriculture",2016.16,6.7459994504323895,1.7550937797310533
"bedouin agriculture",2016.22,6.647057126839203,1.7311368798278572
"bedouin agriculture",2016.28,6.54956597196756,1.7079757713344252
"bedouin agriculture",2016.34,6.453504701794791,1.685583549450323
"bedouin agriculture",2016.4,6.358852344466685,1.663933718643918
"bedouin agriculture",2016.46,6.265588235720399,1.6430002083345951
"bedouin agriculture",2016.52,6.17369201437093,1.6227573883796542
"bedouin agriculture",2016.58,6.083143617867369,1.6031800842173554
"bedouin agriculture",2016.64,5.993923277912176,1.5842435915211888
"bedouin agriculture",2016.7,5.906011516146777,1.5659236902313554
"bedouin agriculture",2016.76,5.819389139897068,1.5481966578372066
"bedouin agriculture",2016.82,5.734037237984672,1.5310392817982932
"bedouin agriculture",2016.88,5.64993717659765,1.5144288710013663
"bedouin agriculture",2016.94,5.567070595223664,1.4983432661657266
"bedouin agriculture",2017,5.4854194026396765,1.482760849121126
"bedouin agriculture",2017.06,5.404965772963568,1.4676605508986262
"bedouin agriculture",2017.12,5.325692141762133,1.4530218585865975
"bedouin agriculture",2017.18,5.247581202216159,1.4388248209191536
"bedouin agriculture",2017.24,5.170615901343219,1.4250500525776675
"bedouin agriculture",2017.3,5.094779436272949,1.4116787371978863
"bedouin agriculture",2017.36,5.020055250579854,1.3986926290891672
"bedouin agriculture",2017.42,4.946427030668188,1.386074053681804
"bedouin agriculture",2017.48,4.873878702211522,1.3738059067302055
"bedouin agriculture",2017.54,4.802394426641762,1.3618716523077
"bedouin agriculture",2017.6,4.7319585976924365,1.350255319638674
"bedouin agriculture",2017.66,4.6625558379910235,1.3389414988192145
"bedouin agriculture",2017.72,4.594170995702867,1.327915335484759
"bedouin agriculture",2017.78,4.526789141221671,1.3171625244869238
"bedouin agriculture",2017.84,4.46039556391117,1.306669302647151
"bedouin agriculture",2017.9,4.394975768893031,1.2964224406560099
"bedouin agriculture",2017.96,4.330515473883346,1.2864092341901878
"bedouin agriculture",2018.02,4.2670006060730925,1.2766174943189554
"bedouin agriculture",2018.08,4.20441729905676,1.2670355372735376
"bedouin agriculture",2018.14,4.14275188980462,1.2576521736508848
"bedouin agriculture",2018.2,4.081990915680754,1.2484566971231466
"bedouin agriculture",2018.26,4.022121111502539,1.2394388727214505
"bedouin agriculture",2018.32,3.9631294066455567,1.2305889247615518
"bedouin agriculture",2018.38,3.905002922189595,1.2218975244750414
"bedouin agriculture",2018.44,3.8477289681078397,1.213355777407784
"bedouin agriculture",2018.5,3.7912950404950805,1.204955210643089
"bedouin agriculture",2018.56,3.7356888188387973,1.1966877599048988
"bedouin agriculture",2018.62,3.6808981633291373,1.1885457565915594
"bedouin agriculture",2018.68,3.6269111122083855,1.180521914787789
"bedouin agriculture",2018.74,3.5737158791603254,1.172609318298796
"bedouin agriculture",2018.8,3.521300850735836,1.1648014077462399
"bedouin agriculture",2018.86,3.469654583818319,1.1570919677632179
"bedouin agriculture",2018.92,3.4187658031250394,1.1494751143208741
"bedouin agriculture",2018.98,3.3686233987463323,1.1419452822166658
"bedouin agriculture",2019.04,3.3192164237189363,1.1344972127502209
"bedouin agriculture",2019.1,3.270534091636864,1.1271259416106805
"bedouin agriculture",2019.16,3.222565774296168,1.119826786995378
"bedouin agriculture",2019.22,3.1753009993753367,1.1125953379777316
"bedouin agriculture",2019.28,3.128729448147916,1.1054274431388091
"bedouin agriculture",2019.34,3.0828409532304812,1.098319199475583
"bedouin agriculture",2019.4,3.0376254963625664,1.0912669415955967
"bedouin agriculture",2019.46,2.993073206220182,1.0842672312064463
"bedouin agriculture",2019.52,2.9491743562597135,1.0773168469057999
"bedouin agriculture",2019.58,2.9059193625951245,1.070412774276836
"bedouin agriculture",2019.64,2.8632987819052986,1.063552196291464
"bedouin agriculture",2019.7,2.821303309373042,1.0567324840229229
"bedouin agriculture",2019.76,2.779923776652709,1.0499511876673513
"bedouin agriculture",2019.82,2.739151149869239,1.0432060278736603
"bedouin agriculture",2019.88,2.6989765276455953,1.036494887379078
"bedouin agriculture",2019.94,2.6593911391600376,1.0298158029475273
"bedouin agriculture",2020,2.6203863422303906,1.0231669576064726
"kkl plantings",2014,4.3114687576689175,1.5038718921530434
"kkl plantings",2014.06,4.323912810495426,1.5012209593447463
"kkl plantings",2014.12,4.3363927801891196,1.4987125381829365
"kkl plantings",2014.18,4.348908770415742,1.4963503149932398
"kkl plantings",2014.24,4.361460885140091,1.4941379934704524
"kkl plantings",2014.3,4.374049228627188,1.4920792915005172
"kkl plantings",2014.36,4.386673905442942,1.490177937842749
"kkl plantings",2014.42,4.399335020455104,1.4884376686767309
"kkl plantings",2014.48,4.4120326788339765,1.4868622240195228
"kkl plantings",2014.54,4.424766986053533,1.4854553440194418
"kkl plantings",2014.6,4.437538047892144,1.484220765134017
"kkl plantings",2014.66,4.4503459704335295,1.4831622162002958
"kkl plantings",2014.72,4.463190860067439,1.4822834144068913
"kkl plantings",2014.78,4.47607282349085,1.4815880611779824
"kkl plantings",2014.84,4.488991967708637,1.4810798379804584
"kkl plantings",2014.9,4.501948400034579,1.4807624020662955
"kkl plantings",2014.96,4.514942228092032,1.4806393821630406
"kkl plantings",2015.02,4.527973559815141,1.4807143741261848
"kkl plantings",2015.08,4.541042503449521,1.4809909365678768
"kkl plantings",2015.14,4.554149167553267,1.4814725864771416
"kkl plantings",2015.2,4.567293660997646,1.482162794847308
"kkl plantings",2015.26,4.580476092968315,1.4830649823269633
"kkl plantings",2015.32,4.59369657296601,1.4841825149109669
"kkl plantings",2015.38,4.606955210807573,1.4855186996885696
"kkl plantings",2015.44,4.620252116626656,1.48707678066564
"kkl plantings",2015.5,4.6335874008749345,1.4888599346782752
"kkl plantings",2015.56,4.6469611743228265,1.4908712674147597
"kkl plantings",2015.62,4.6603735480604636,1.493113809562859
"kkl plantings",2015.68,4.673824633498666,1.4955905130989469
"kkl plantings",2015.74,4.687314542369657,1.4983042477350055
"kkl plantings",2015.8,4.700843386728312,1.5012577975391148
"kkl plantings",2015.86,4.714411278952867,1.5044538577439632
"kkl plantings",2015.92,4.728018331745966,1.5078950317574666
"kkl plantings",2015.98,4.741664658135387,1.5115838283882095
"kkl plantings",2016.04,4.755350371475294,1.5155226592978013
"kkl plantings",2016.1,4.7690755854469655,1.5197138366904699
"kkl plantings",2016.16,4.782840414059853,1.5241595712495277
"kkl plantings",2016.22,4.79664497165231,1.5288619703284931
"kkl plantings",2016.28,4.810489372892857,1.5338230364037502
"kkl plantings",2016.34,4.824373732780923,1.5390446657935477
"kkl plantings",2016.4,4.838298166647917,1.544528647647206
"kkl plantings",2016.46,4.85226279015796,1.5502766632064064
"kkl plantings",2016.52,4.86626771930917,1.5562902853394822
"kkl plantings",2016.58,4.880313070434422,1.562570978347321
"kkl plantings",2016.64,4.894398960202402,1.5691200980387605
"kkl plantings",2016.7,4.908525505618375,1.5759388920713238
"kkl plantings",2016.76,4.9226928240254795,1.5830285005523632
"kkl plantings",2016.82,4.936901033105477,1.59038995689348
"kkl plantings",2016.88,4.951150250879853,1.5980241889107225
"kkl plantings",2016.94,4.965440595710563,1.605932020161162
"kkl plantings",2017,4.979772186301355,1.6141141715061922
"kkl plantings",2017.06,4.994145141698534,1.6225712628898066
"kkl plantings",2017.12,5.008559581292003,1.6313038153203714
"kkl plantings",2017.18,5.023015624816308,1.640312253043042
"kkl plantings",2017.24,5.0375133923514195,1.6495969058892708
"kkl plantings",2017.3,5.052053004324059,1.659158011790114
"kkl plantings",2017.36,5.0666345815084695,1.6689957194384535
"kkl plantings",2017.42,5.081258245027541,1.6791100910861207
"kkl plantings",2017.48,5.095924116353589,1.6895011054609392
"kkl plantings",2017.54,5.1106323173096975,1.7001686607895181
"kkl plantings",2017.6,5.125382970070508,1.711112577910481
"kkl plantings",2017.66,5.140176197163346,1.7223326034642423
"kkl plantings",2017.72,5.155012121469021,1.7338284131446753
"kkl plantings",2017.78,5.169890866223173,1.745599614999446
"kkl plantings",2017.84,5.184812555017072,1.757645752764752
"kkl plantings",2017.9,5.199777311798774,1.7699663092221845
"kkl plantings",2017.96,5.2147852608738985,1.7825607095647305
"kkl plantings",2018.02,5.2298365269070315,1.7954283247608949
"kkl plantings",2018.08,5.244931234922499,1.8085684749047648
"kkl plantings",2018.14,5.260069510305552,1.8219804325423312
"kkl plantings",2018.2,5.275251478803158,1.8356634259636244
"kkl plantings",2018.26,5.290477266525398,1.8496166424523979
"kkl plantings",2018.32,5.305746999946286,1.8638392314840353
"kkl plantings",2018.38,5.321060805904918,1.8783303078647997
"kkl plantings",2018.44,5.336418811606334,1.893088954804969
"kkl plantings",2018.5,5.351821144622866,1.9081142269205218
"kkl plantings",2018.56,5.367267932895016,1.923405153156854
"kkl plantings",2018.62,5.382759304732551,1.9389607396305681
"kkl plantings",2018.68,5.39829538881563,1.9547799723849728
"kkl plantings",2018.74,5.413876314195649,1.970861820055584
"kkl plantings",2018.8,5.429502210296646,1.9872052364436288
"kkl plantings",2018.86,5.445173206916162,2.003809162994205
"kkl plantings",2018.92,5.460889434226419,2.020672531178295
"kkl plantings",2018.98,5.476651022775184,2.0377942647767977
"kkl plantings",2019.04,5.492458103487189,2.0551732820668582
"kkl plantings",2019.1,5.508310807664993,2.0728084979090666
"kkl plantings",2019.16,5.5242092669901925,2.0906988257366774
"kkl plantings",2019.22,5.540153613524267,2.108843179446692
"kkl plantings",2019.28,5.556143979710041,2.127240475194769
"kkl plantings",2019.34,5.572180498372554,2.1458896330938835
"kkl plantings",2019.4,5.588263302720261,2.164789578819291
"kkl plantings",2019.46,5.604392526345922,2.1839392451207904
"kkl plantings",2019.52,5.620568303228053,2.203337573245344
"kkl plantings",2019.58,5.636790767731815,2.222983514270877
"kkl plantings",2019.64,5.65306005461024,2.2428760303546698
"kkl plantings",2019.7,5.669376299005114,2.263014095897994
"kkl plantings",2019.76,5.6857396364484565,2.283396698630761
"kkl plantings",2019.82,5.702150202863412,2.304022840617353
"kkl plantings",2019.88,5.718608134565496,2.3248915391876035
"kkl plantings",2019.94,5.735113568263481,2.346001827794799
"kkl plantings",2020,5.751666641060897,2.367352756804794
"loess",2014,10.894982766564103,3.5137742551930287
"loess",2014.06,10.819373663510767,3.48443603322183
"loess",2014.12,10.74428927321623,3.455701517427713
"loess",2014.18,10.66972595427371,3.4275626408149695
"loess",2014.24,10.595680090547942,3.4000113084900576
"loess",2014.3,10.52214809099811,3.3730393987269545
"loess",2014.36,10.4491263895048,3.3466387642009137
"loess",2014.42,10.376611444696536,3.3208012333873165
"loess",2014.48,10.30459973977909,3.2955186121244178
"loess",2014.54,10.233087782363294,3.27078268533565
"loess",2014.6,10.162072104296769,3.246585218909675
"loess",2014.66,10.09154926149521,3.222917961732393
"loess",2014.72,10.021515833776366,3.1997726478671176
"loess",2014.78,9.95196842469261,3.177140998875942
"loess",2014.84,9.882903661367296,3.1550147262779444
"loess",2014.9,9.814318194330621,3.13338553413611
"loess",2014.96,9.746208697358236,3.1122451217667004
"loess",2015.02,9.67857186730841,3.0915851865620843
"loess",2015.08,9.611404423962814,3.0713974269203397
"loess",2015.14,9.544703109866962,3.051673545271759
"loess",2015.2,9.478464690173249,3.032405251194148
"loess",2015.26,9.41268595248253,3.0135842646062794
"loess",2015.32,9.347363706689352,2.995202319031503
"loess",2015.38,9.282494784826731,2.9772511649203075
"loess",2015.44,9.21807604091353,2.959722573022704
"loess",2015.5,9.154104350800365,2.942608337799192
"loess",2015.56,9.090576612019099,2.9259002808613457
"loess",2015.62,9.027489743632142,2.9095902544307926
"loess",2015.68,8.964840686082775,2.893670144806729
"loess",2015.74,8.902626401047739,2.8781318758320724
"loess",2015.8,8.84084387128845,2.8629674123474005
"loess",2015.86,8.779490100505612,2.8481687636240367
"loess",2015.92,8.718562113193457,2.833727986765852
"loess",2015.98,8.658056954496335,2.8196371900710013
"loess",2016.04,8.597971690064048,2.8058885363439643
"loess",2016.1,8.538303405910462,2.792474246150207
"loess",2016.16,8.47904920827173,2.779386601004431
"loess",2016.22,8.420206223466835,2.766617946485274
"loess",2016.28,8.361771597756888,2.754160695268253
"loess",2016.34,8.30374249720764,2.742007330071152
"loess",2016.4,8.246116107551579,2.7301504065046127
"loess",2016.46,8.188889634052318,2.718582555822659
"loess",2016.52,8.132060301367769,2.7072964875671275
"loess",2016.58,8.075625353416402,2.6962849921020045
"loess",2016.64,8.019582053243154,2.6855409430327732
"loess",2016.7,7.963927682887543,2.6750572995074373
"loess",2016.76,7.908659543250581,2.664827108395437
"loess",2016.82,7.8537749539647175,2.6548435063425653
"loess",2016.88,7.799271253263451,2.6450997216990286
"loess",2016.94,7.745145797853031,2.6355890763195386
"loess",2017,7.69139596278306,2.6263049872336066
"loess",2017.06,7.638019141319993,2.6172409681861386
"loess",2017.12,7.585012744820517,2.608390631047548
"loess",2017.18,7.532374202605822,2.5997476870937937
"loess",2017.24,7.480100961837699,2.5913059481570913
"loess",2017.3,7.42819048739357,2.5830593276479537
"loess",2017.36,7.376640261744308,2.5750018414504834
"loess",2017.42,7.325447784831781,2.5671276086922767
"loess",2017.48,7.274610573948347,2.559430852391276
"loess",2017.54,7.224126163615313,2.551905899981598
"loess",2017.6,7.173992105464125,2.544547183721451
"loess",2017.66,7.124205968117255,2.537349240985664
"loess",2017.72,7.074765337071039,2.530306714446254
"loess",2017.78,7.025667814577435,2.5234143521438743
"loess",2017.84,6.976911019528514,2.5166670074542483
"loess",2017.9,6.92849258734059,2.510059638952726
"loess",2017.96,6.880410169840284,2.503587310181089
"loess",2018.02,6.832661435149563,2.497245189320035
"loess",2018.08,6.785244067573337,2.4910285487718045
"loess",2018.14,6.738155767486843,2.484932764656569
"loess",2018.2,6.691394251224802,2.478953316226914
"loess",2018.26,6.644957250969599,2.473085785204138
"loess",2018.32,6.5988425146420235,2.467325855040889
"loess",2018.38,6.553047805791687,2.461669310113896
"loess",2018.44,6.507570903489273,2.4561120348510843
"loess",2018.5,6.46240960221775,2.450650012796752
"loess",2018.56,6.417561711766147,2.4452793256192527
"loess",2018.62,6.3730250571231295,2.4399961520647198
"loess",2018.68,6.328797478371363,2.4347967668608277
"loess",2018.74,6.284876830583429,2.429677539574447
"loess",2018.8,6.241260983716788,2.4246349334265522
"loess",2018.86,6.197947822511173,2.4196655040684223
"loess",2018.92,6.154935246385636,2.4147658983222136
"loess",2018.98,6.112221169337366,2.409932852889631
"loess",2019.04,6.069803519839517,2.4051631930315662
"loess",2019.1,6.027680240741409,2.4004538312223223
"loess",2019.16,5.985849289168437,2.3958017657810995
"loess",2019.22,5.944308636423631,2.391204079483947
"loess",2019.28,5.903056267888314,2.3866579381586677
"loess",2019.34,5.862090182925045,2.382160589265744
"loess",2019.4,5.821408394780262,2.377709360467537
"loess",2019.46,5.781008930488561,2.3733016581884647
"loess",2019.52,5.740889830776077,2.3689349661681716
"loess",2019.58,5.70104914996609,2.364606844010275
"loess",2019.64,5.661484955884347,2.360314925728481
"loess",2019.7,5.622195329765977,2.356056918292289
"loess",2019.76,5.5831783661615155,2.3518306001738587
"loess",2019.82,5.544432172845103,2.3476338198981463
"loess",2019.88,5.505954870722423,2.343464494597691
"loess",2019.94,5.467744593740153,2.3393206085737948
"loess",2020,5.4297994887945835,2.335200211865288
